iter	Passed	Remaining
0	9	48898
1	19	48915
2	29	49452
3	39	49351
4	49	49463
5	59	49499
6	69	49328
7	78	49225
8	88	49340
9	98	49121
10	109	49541
11	119	49642
12	129	49515
13	137	49145
14	147	49090
15	157	49031
16	167	49086
17	177	49032
18	185	48715
19	195	48735
20	206	49005
21	216	48888
22	224	48573
23	234	48685
24	244	48654
25	254	48604
26	262	48344
27	271	48248
28	280	48052
29	290	48101
30	299	47946
31	308	47837
32	318	47896
33	329	48081
34	338	48011
35	347	47953
36	356	47783
37	365	47778
38	376	47855
39	386	47935
40	396	47941
41	407	48095
42	416	48069
43	427	48120
44	437	48200
45	447	48235
46	457	48179
47	467	48209
48	477	48237
49	487	48265
50	497	48254
51	506	48213
52	516	48203
53	526	48243
54	535	48168
55	546	48262
56	557	48334
57	567	48331
58	576	48295
59	587	48358
60	597	48361
61	606	48305
62	616	48297
63	626	48330
64	636	48310
65	645	48284
66	655	48296
67	665	48233
68	675	48254
69	684	48219
70	693	48162
71	704	48235
72	715	48314
73	725	48307
74	734	48258
75	744	48239
76	754	48256
77	764	48231
78	774	48255
79	783	48214
80	793	48179
81	803	48216
82	813	48193
83	823	48176
84	832	48151
85	841	48073
86	851	48060
87	859	48002
88	869	47994
89	879	47996
90	889	47976
91	899	47971
92	908	47929
93	917	47908
94	926	47837
95	935	47801
96	944	47753
97	953	47683
98	962	47661
99	972	47644
100	981	47617
101	990	47558
102	999	47526
103	1008	47488
104	1018	47478
105	1027	47461
106	1037	47440
107	1046	47386
108	1055	47355
109	1064	47317
110	1074	47305
111	1083	47298
112	1093	47312
113	1103	47287
114	1112	47260
115	1122	47261
116	1132	47283
117	1142	47264
118	1152	47282
119	1162	47256
120	1171	47249
121	1181	47247
122	1191	47251
123	1202	47270
124	1210	47222
125	1220	47193
126	1229	47187
127	1239	47163
128	1248	47143
129	1257	47112
130	1266	47087
131	1276	47079
132	1286	47077
133	1296	47074
134	1305	47050
135	1314	47007
136	1324	47000
137	1333	46993
138	1344	47010
139	1354	47024
140	1364	47009
141	1373	46998
142	1384	47015
143	1393	46981
144	1402	46953
145	1411	46931
146	1421	46916
147	1431	46914
148	1439	46874
149	1450	46913
150	1461	46931
151	1471	46944
152	1481	46943
153	1492	46961
154	1502	46954
155	1511	46943
156	1522	46964
157	1532	46959
158	1541	46937
159	1551	46932
160	1560	46901
161	1569	46886
162	1579	46879
163	1589	46864
164	1598	46852
165	1608	46837
166	1618	46835
167	1629	46856
168	1639	46862
169	1648	46845
170	1659	46852
171	1669	46855
172	1678	46830
173	1687	46816
174	1697	46808
175	1707	46796
176	1717	46804
177	1727	46792
178	1736	46769
179	1747	46800
180	1756	46777
181	1766	46757
182	1776	46760
183	1786	46759
184	1796	46744
185	1805	46730
186	1814	46702
187	1823	46672
188	1833	46664
189	1843	46671
190	1853	46670
191	1862	46649
192	1872	46646
193	1883	46651
194	1893	46654
195	1902	46631
196	1912	46626
197	1921	46591
198	1930	46574
199	1939	46556
200	1948	46528
201	1958	46521
202	1966	46478
203	1976	46473
204	1985	46450
205	1996	46465
206	2006	46459
207	2015	46437
208	2025	46421
209	2034	46411
210	2044	46408
211	2054	46399
212	2063	46383
213	2073	46362
214	2082	46341
215	2091	46324
216	2101	46315
217	2111	46312
218	2121	46324
219	2131	46320
220	2141	46303
221	2150	46286
222	2161	46292
223	2171	46298
224	2180	46284
225	2190	46268
226	2200	46270
227	2210	46256
228	2219	46239
229	2228	46224
230	2238	46220
231	2247	46191
232	2256	46162
233	2266	46153
234	2275	46146
235	2286	46150
236	2295	46138
237	2306	46140
238	2315	46132
239	2327	46153
240	2337	46166
241	2347	46157
242	2357	46143
243	2365	46106
244	2374	46078
245	2383	46063
246	2392	46044
247	2402	46027
248	2412	46034
249	2422	46024
250	2431	46012
251	2441	45997
252	2451	45988
253	2462	46008
254	2472	46005
255	2480	45973
256	2490	45959
257	2500	45953
258	2509	45942
259	2518	45920
260	2528	45904
261	2537	45886
262	2546	45873
263	2556	45860
264	2566	45864
265	2576	45861
266	2586	45841
267	2595	45822
268	2604	45802
269	2614	45796
270	2623	45785
271	2633	45769
272	2643	45776
273	2654	45783
274	2663	45767
275	2673	45753
276	2682	45744
277	2692	45729
278	2701	45719
279	2711	45708
280	2719	45675
281	2729	45659
282	2738	45652
283	2749	45651
284	2759	45649
285	2769	45644
286	2778	45627
287	2789	45635
288	2798	45624
289	2807	45594
290	2817	45587
291	2827	45588
292	2837	45578
293	2846	45561
294	2856	45560
295	2866	45549
296	2875	45536
297	2886	45541
298	2896	45539
299	2905	45526
300	2915	45514
301	2925	45506
302	2934	45493
303	2944	45478
304	2954	45472
305	2963	45463
306	2972	45441
307	2982	45431
308	2991	45408
309	3000	45394
310	3010	45387
311	3020	45381
312	3029	45370
313	3038	45351
314	3047	45331
315	3058	45339
316	3068	45325
317	3077	45304
318	3086	45288
319	3096	45289
320	3106	45276
321	3115	45261
322	3124	45244
323	3134	45237
324	3143	45219
325	3153	45212
326	3163	45208
327	3174	45216
328	3184	45210
329	3193	45192
330	3202	45179
331	3213	45175
332	3223	45171
333	3232	45152
334	3241	45139
335	3251	45130
336	3261	45128
337	3272	45131
338	3282	45129
339	3291	45115
340	3301	45108
341	3310	45091
342	3319	45074
343	3330	45078
344	3340	45075
345	3350	45073
346	3361	45070
347	3371	45069
348	3381	45068
349	3392	45071
350	3403	45084
351	3414	45084
352	3424	45077
353	3433	45062
354	3442	45040
355	3453	45044
356	3462	45036
357	3472	45030
358	3481	45012
359	3491	44997
360	3500	44980
361	3509	44964
362	3520	44969
363	3529	44954
364	3538	44936
365	3548	44925
366	3558	44919
367	3567	44909
368	3577	44896
369	3588	44899
370	3598	44901
371	3608	44898
372	3618	44885
373	3628	44882
374	3637	44864
375	3647	44852
376	3656	44840
377	3667	44838
378	3676	44828
379	3685	44809
380	3693	44781
381	3702	44760
382	3712	44751
383	3721	44732
384	3730	44715
385	3740	44712
386	3749	44692
387	3758	44678
388	3767	44659
389	3777	44646
390	3786	44633
391	3797	44635
392	3807	44630
393	3816	44620
394	3826	44614
395	3837	44615
396	3847	44614
397	3857	44608
398	3868	44604
399	3878	44601
400	3888	44592
401	3897	44579
402	3907	44574
403	3918	44573
404	3928	44570
405	3938	44567
406	3948	44558
407	3957	44540
408	3967	44529
409	3977	44525
410	3986	44514
411	3990	44434
412	3998	44413
413	4007	44387
414	4017	44389
415	4026	44367
416	4034	44343
417	4043	44326
418	4053	44318
419	4063	44308
420	4072	44296
421	4082	44285
422	4091	44276
423	4101	44269
424	4111	44262
425	4121	44257
426	4132	44252
427	4141	44242
428	4152	44241
429	4162	44234
430	4171	44217
431	4181	44212
432	4190	44203
433	4200	44191
434	4210	44180
435	4219	44168
436	4229	44163
437	4239	44160
438	4249	44145
439	4258	44133
440	4268	44123
441	4278	44120
442	4287	44107
443	4297	44093
444	4305	44071
445	4315	44067
446	4325	44053
447	4334	44044
448	4344	44030
449	4354	44026
450	4364	44027
451	4374	44020
452	4385	44018
453	4395	44012
454	4405	44005
455	4415	43998
456	4426	44002
457	4436	43994
458	4445	43977
459	4454	43962
460	4463	43952
461	4473	43942
462	4483	43934
463	4491	43912
464	4501	43897
465	4510	43889
466	4520	43875
467	4529	43863
468	4539	43854
469	4549	43845
470	4557	43827
471	4567	43817
472	4577	43810
473	4587	43804
474	4597	43798
475	4608	43797
476	4618	43789
477	4626	43771
478	4635	43754
479	4644	43737
480	4653	43717
481	4662	43701
482	4672	43697
483	4683	43696
484	4692	43688
485	4702	43681
486	4712	43672
487	4723	43669
488	4732	43657
489	4742	43649
490	4751	43634
491	4760	43622
492	4770	43614
493	4780	43609
494	4790	43599
495	4800	43587
496	4809	43572
497	4819	43567
498	4829	43566
499	4840	43564
500	4850	43560
501	4860	43549
502	4869	43539
503	4879	43526
504	4888	43516
505	4899	43510
506	4909	43503
507	4918	43495
508	4928	43485
509	4938	43475
510	4947	43464
511	4956	43450
512	4966	43444
513	4977	43437
514	4986	43424
515	4996	43416
516	5004	43397
517	5014	43385
518	5023	43371
519	5033	43368
520	5043	43355
521	5052	43346
522	5063	43343
523	5073	43336
524	5083	43329
525	5093	43324
526	5103	43318
527	5113	43305
528	5122	43291
529	5131	43279
530	5141	43268
531	5151	43262
532	5160	43249
533	5169	43234
534	5178	43221
535	5189	43221
536	5198	43208
537	5208	43199
538	5217	43185
539	5226	43170
540	5236	43163
541	5246	43153
542	5256	43142
543	5265	43128
544	5275	43120
545	5285	43112
546	5295	43110
547	5305	43100
548	5314	43087
549	5323	43072
550	5333	43064
551	5344	43065
552	5354	43058
553	5363	43041
554	5373	43034
555	5383	43027
556	5392	43014
557	5401	42997
558	5411	42989
559	5420	42978
560	5430	42971
561	5440	42962
562	5450	42953
563	5459	42938
564	5469	42931
565	5479	42926
566	5489	42915
567	5499	42910
568	5509	42907
569	5519	42895
570	5528	42884
571	5538	42877
572	5548	42867
573	5557	42851
574	5567	42842
575	5577	42835
576	5586	42823
577	5595	42808
578	5605	42800
579	5614	42787
580	5623	42775
581	5633	42762
582	5642	42747
583	5651	42735
584	5661	42724
585	5671	42717
586	5681	42712
587	5690	42700
588	5699	42686
589	5709	42674
590	5719	42667
591	5728	42655
592	5737	42638
593	5747	42629
594	5756	42618
595	5765	42606
596	5774	42590
597	5784	42579
598	5794	42577
599	5805	42570
600	5814	42556
601	5823	42544
602	5832	42532
603	5843	42530
604	5853	42523
605	5862	42509
606	5871	42492
607	5881	42482
608	5891	42477
609	5901	42472
610	5911	42464
611	5921	42455
612	5930	42440
613	5940	42432
614	5949	42418
615	5958	42407
616	5968	42399
617	5978	42391
618	5988	42386
619	5998	42378
620	6008	42368
621	6018	42359
622	6027	42344
623	6036	42332
624	6047	42331
625	6057	42322
626	6066	42312
627	6076	42303
628	6086	42298
629	6096	42287
630	6105	42275
631	6114	42262
632	6124	42252
633	6133	42240
634	6143	42230
635	6153	42222
636	6162	42211
637	6171	42193
638	6180	42180
639	6190	42173
640	6201	42169
641	6211	42162
642	6221	42155
643	6231	42150
644	6241	42140
645	6250	42131
646	6260	42117
647	6269	42105
648	6279	42095
649	6288	42087
650	6299	42081
651	6308	42072
652	6318	42058
653	6327	42048
654	6337	42037
655	6347	42036
656	6358	42032
657	6368	42025
658	6378	42015
659	6386	41997
660	6395	41981
661	6405	41974
662	6414	41962
663	6423	41949
664	6434	41945
665	6444	41937
666	6454	41928
667	6464	41920
668	6473	41910
669	6482	41893
670	6491	41877
671	6500	41866
672	6510	41857
673	6520	41849
674	6529	41839
675	6539	41831
676	6549	41822
677	6558	41808
678	6567	41795
679	6576	41783
680	6586	41774
681	6596	41764
682	6605	41751
683	6615	41742
684	6624	41730
685	6634	41722
686	6644	41713
687	6654	41705
688	6664	41700
689	6674	41689
690	6684	41682
691	6693	41669
692	6703	41659
693	6713	41653
694	6722	41641
695	6732	41630
696	6741	41620
697	6751	41611
698	6762	41609
699	6773	41608
700	6782	41593
701	6791	41581
702	6800	41569
703	6810	41558
704	6821	41555
705	6831	41552
706	6842	41546
707	6852	41540
708	6861	41526
709	6871	41518
710	6881	41510
711	6890	41500
712	6901	41495
713	6910	41485
714	6921	41480
715	6930	41467
716	6939	41455
717	6949	41443
718	6958	41433
719	6969	41430
720	6979	41421
721	6990	41417
722	6999	41407
723	7009	41400
724	7020	41394
725	7030	41387
726	7039	41377
727	7049	41365
728	7059	41357
729	7068	41347
730	7077	41332
731	7087	41324
732	7097	41315
733	7106	41305
734	7115	41291
735	7124	41273
736	7132	41256
737	7141	41242
738	7151	41235
739	7161	41226
740	7172	41223
741	7181	41214
742	7192	41209
743	7202	41201
744	7211	41190
745	7221	41180
746	7230	41167
747	7241	41163
748	7251	41157
749	7261	41150
750	7270	41135
751	7280	41129
752	7291	41125
753	7301	41117
754	7311	41109
755	7320	41096
756	7330	41086
757	7339	41074
758	7349	41064
759	7358	41054
760	7368	41043
761	7378	41034
762	7388	41029
763	7397	41014
764	7406	41000
765	7416	40995
766	7426	40985
767	7436	40975
768	7446	40968
769	7455	40954
770	7464	40945
771	7474	40934
772	7483	40924
773	7493	40913
774	7502	40900
775	7512	40892
776	7522	40883
777	7531	40873
778	7541	40861
779	7550	40851
780	7560	40842
781	7569	40830
782	7578	40816
783	7588	40806
784	7597	40796
785	7607	40787
786	7617	40777
787	7627	40769
788	7637	40764
789	7648	40758
790	7658	40751
791	7667	40739
792	7677	40732
793	7688	40726
794	7696	40709
795	7706	40701
796	7717	40696
797	7727	40690
798	7737	40680
799	7747	40674
800	7757	40666
801	7767	40655
802	7777	40649
803	7787	40640
804	7796	40628
805	7806	40623
806	7816	40615
807	7826	40606
808	7836	40596
809	7845	40583
810	7854	40572
811	7864	40560
812	7873	40548
813	7883	40540
814	7893	40535
815	7903	40526
816	7913	40514
817	7922	40502
818	7932	40494
819	7942	40486
820	7951	40474
821	7960	40461
822	7970	40451
823	7979	40439
824	7988	40428
825	7998	40420
826	8008	40409
827	8017	40398
828	8028	40393
829	8038	40384
830	8046	40369
831	8055	40355
832	8064	40341
833	8073	40328
834	8082	40313
835	8091	40303
836	8100	40292
837	8110	40280
838	8120	40271
839	8130	40262
840	8139	40251
841	8148	40240
842	8158	40230
843	8167	40219
844	8176	40205
845	8185	40193
846	8195	40185
847	8204	40173
848	8214	40165
849	8223	40150
850	8232	40138
851	8242	40130
852	8252	40122
853	8263	40116
854	8272	40103
855	8281	40092
856	8291	40082
857	8301	40075
858	8312	40070
859	8322	40063
860	8332	40054
861	8341	40041
862	8351	40033
863	8361	40027
864	8370	40013
865	8378	39996
866	8387	39983
867	8396	39970
868	8407	39964
869	8416	39955
870	8426	39948
871	8436	39937
872	8445	39926
873	8454	39913
874	8464	39906
875	8474	39895
876	8484	39887
877	8494	39878
878	8504	39869
879	8514	39862
880	8523	39850
881	8533	39840
882	8542	39830
883	8551	39816
884	8560	39802
885	8569	39791
886	8579	39782
887	8588	39769
888	8598	39760
889	8608	39752
890	8617	39742
891	8627	39731
892	8638	39727
893	8648	39719
894	8657	39709
895	8667	39698
896	8677	39693
897	8687	39682
898	8697	39673
899	8706	39662
900	8715	39651
901	8725	39643
902	8736	39636
903	8746	39629
904	8756	39619
905	8765	39607
906	8775	39599
907	8784	39588
908	8794	39579
909	8804	39571
910	8814	39563
911	8823	39551
912	8832	39540
913	8842	39529
914	8853	39526
915	8864	39522
916	8873	39510
917	8883	39500
918	8892	39488
919	8901	39475
920	8910	39465
921	8920	39456
922	8930	39446
923	8940	39438
924	8950	39430
925	8960	39421
926	8970	39413
927	8980	39407
928	8989	39392
929	8998	39380
930	9007	39368
931	9017	39358
932	9027	39350
933	9036	39336
934	9045	39326
935	9055	39317
936	9065	39308
937	9075	39299
938	9083	39284
939	9094	39278
940	9103	39267
941	9113	39260
942	9123	39253
943	9133	39241
944	9143	39234
945	9153	39228
946	9163	39219
947	9173	39210
948	9183	39203
949	9193	39194
950	9203	39185
951	9214	39178
952	9223	39170
953	9233	39161
954	9243	39151
955	9252	39140
956	9264	39137
957	9273	39128
958	9282	39115
959	9292	39107
960	9303	39102
961	9313	39091
962	9322	39079
963	9331	39068
964	9340	39055
965	9350	39048
966	9360	39039
967	9370	39030
968	9379	39018
969	9389	39009
970	9399	38999
971	9408	38990
972	9419	38983
973	9429	38974
974	9438	38963
975	9448	38954
976	9458	38947
977	9469	38943
978	9479	38936
979	9489	38925
980	9500	38922
981	9510	38913
982	9520	38905
983	9530	38897
984	9541	38893
985	9552	38890
986	9562	38880
987	9571	38868
988	9581	38858
989	9591	38850
990	9602	38847
991	9612	38835
992	9622	38829
993	9632	38822
994	9642	38812
995	9651	38801
996	9660	38789
997	9671	38783
998	9681	38774
999	9691	38765
1000	9700	38754
1001	9710	38744
1002	9720	38735
1003	9730	38729
1004	9740	38720
1005	9749	38708
1006	9760	38703
1007	9771	38697
1008	9781	38687
1009	9791	38679
1010	9799	38666
1011	9809	38657
1012	9819	38647
1013	9829	38639
1014	9838	38627
1015	9848	38619
1016	9859	38615
1017	9869	38606
1018	9879	38596
1019	9889	38590
1020	9899	38579
1021	9909	38570
1022	9917	38556
1023	9927	38545
1024	9936	38535
1025	9947	38528
1026	9956	38518
1027	9967	38512
1028	9977	38504
1029	9987	38495
1030	9997	38485
1031	10007	38479
1032	10018	38472
1033	10027	38462
1034	10037	38451
1035	10046	38439
1036	10056	38431
1037	10065	38419
1038	10075	38411
1039	10084	38399
1040	10093	38387
1041	10103	38377
1042	10113	38370
1043	10123	38362
1044	10133	38352
1045	10143	38342
1046	10153	38333
1047	10163	38328
1048	10174	38321
1049	10184	38314
1050	10195	38307
1051	10204	38294
1052	10214	38286
1053	10224	38279
1054	10233	38267
1055	10244	38262
1056	10254	38251
1057	10262	38238
1058	10272	38226
1059	10282	38218
1060	10292	38211
